image_id	run_id	timestamp	frame	lifter	gain	measurementlabel	cartag	id	exposure	zoom	plantbarcode	camera	treatment	imgtype	other	image	image_id	area	hull-area	solidity	perimeter	width	height	longest_axis	center-of-mass-x	center-of-mass-y	hull_vertices	in_bounds	ellipse_center_x	ellipse_center_y	ellipse_major_axis	ellipse_minor_axis	ellipse_angle	ellipse_eccentricity	y-position	height_above_bound	height_below_bound	above_bound_area	percent_above_bound_area	below_bound_area	percent_below_bound_area	marker_area	marker_major_axis_length	marker_minor_axis_length	marker_eccentricity	estimated_object_count	tip_points	tip_points_r	centroid_r	baseline_r	tip_number	vert_ave_c	hori_ave_c	euc_ave_c	ang_ave_c	vert_ave_b	hori_ave_b	euc_ave_b	ang_ave_b	left_lmk	right_lmk	center_h_lmk	left_lmk_r	right_lmk_r	center_h_lmk_r	top_lmk	bottom_lmk	center_v_lmk	top_lmk_r	bottom_lmk_r	center_v_lmk_r
31	1	2013-12-17 05:26:19.096	180	none	none	B2_120513	1441	352786	none	z500	Dp1AC000046	SV	none	VIS	none	snapshot59305/VIS_SV_180_z500_352786.png	31	42495.0	222259.0	0.191195857086	5946.89595616	602	509	475	1376.46751383	1546.33869867	19	True	1416.00183105	1530.77172852	548.368408203	389.784515381	96.3969802856	0.703386337664	320	466	43	42016	98.8728085657	479	1.12719143429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	1	2013-12-28 15:53:49.353	0	none	none	B2_120513	2092	386902	none	z500	Dp1AE000081	SV	none	VIS	none	snapshot72626/VIS_SV_0_z500_386902.png	32	251326.0	915839.0	0.274421595936	20852.5301062	1217	1073	1209	1311.6607275	1265.87394062	21	True	1342.15759277	1240.92749023	956.501159668	808.40222168	125.277435303	0.534503974349	320	1073	0	251326	100.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	1	2013-12-28 11:06:13.431	180	none	none	B2_120513	1045	386114	none	z500	Dp1AA01027	SV	none	VIS	none	snapshot72149/VIS_SV_180_z500_386114.png	33	222861.0	1189153.5	0.187411465383	24379.3818138	1170	1561	1537	1228.37429609	1232.98745406	23	True	1198.96862793	1107.57653809	1280.96850586	833.781677246	3.04934024811	0.759163964489	320	1551	10	222781	99.9641031854	80	0.0358968146064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	1	2013-12-29 16:20:25.275	180	none	none	B2_120513	1348	389534	none	z500	Dp2AA01117	SV	none	VIS	none	snapshot73666/VIS_SV_180_z500_389534.png	34	262164.0	1188408.0	0.220601005715	24619.5866545	1083	1507	1507	1289.80982515	1119.53948292	23	True	1278.60083008	1019.96142578	1188.10974121	819.357116699	6.13326692581	0.724161105701	320	1507	0	262164	100.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	1	2013-12-17 16:38:32.096	90	none	none	B2_120513	1674	356550	none	z500	Dp1AD000073	SV	none	VIS	none	snapshot60165/VIS_SV_90_z500_356550.png	35	25135.0	101993.0	0.246438481072	3653.31576908	526	373	480	1274.40684305	1563.14780187	15	True	1292.90380859	1539.00866699	433.376037598	254.77633667	59.5145187378	0.808942728441	320	373	0	25135	100.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	1	2013-12-17 07:21:23.315	90	none	none	B2_120513	1538	353864	none	z500	Dp2AA01103	SV	none	VIS	none	snapshot59395/VIS_SV_90_z500_353864.png	36	67427.0	277768.5	0.242745307693	5551.33288026	657	647	638	1230.80012458	1459.3515654	16	True	1217.44360352	1446.59729004	567.703369141	460.63079834	131.867980957	0.584500351158	320	647	0	67427	100.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	1	2013-12-28 15:06:32.337	270	none	none	B2_120513	1204	386596	none	z500	Dp2AA01118	SV	none	VIS	none	snapshot72600/VIS_SV_270_z500_386596.png	37	184784.0	586716.0	0.314946243157	11109.0022191	580	1448	1428	1192.43248333	1093.51635964	18	True	1194.01342773	1006.40350342	1308.24511719	427.950897217	178.286239624	0.944983401207	320	1448	0	184784	100.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	1	2013-12-29 06:01:02.04	270	none	none	B2_120513	1280	387388	none	z500	Dp1AA01017	SV	none	VIS	none	snapshot73077/VIS_SV_270_z500_387388.png	38	256503.0	1048959.0	0.244531006455	20512.6628996	926	1822	1708	1238.62097519	1189.93409434	18	True	1240.25805664	1041.41723633	1544.36767578	654.029174805	168.790802002	0.905899292584	320	1694	128	254745	99.3146278991	1758	0.685372100911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	1	2013-12-17 10:57:35.908	0	none	none	B2_120513	2127	355032	none	z500	Dp1AA000017	SV	none	VIS	none	snapshot59490/VIS_SV_0_z500_355032.png	39	71481.0	427192.5	0.167327375832	9973.85986173	1058	485	892	1340.51612317	1539.50074845	20	True	1426.7355957	1488.56433105	1050.81506348	413.738098145	83.6322937012	0.919225856426	320	485	0	71481	100.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	1	2013-12-17 05:49:07.518	270	none	none	B2_120513	1256	352992	none	z500	Dp2AE000183	SV	none	VIS	none	snapshot59322/VIS_SV_270_z500_352992.png	40	21258.0	100884.5	0.210716215078	2231.86621642	415	372	412	1256.78332863	1519.71370778	14	True	1247.78015137	1532.58117676	375.563568115	302.581878662	65.1986160278	0.59235890942	320	372	0	21258	100.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
